,Title,Rating,RatingCount
0,Star Wars: The Force Awakens,8.4,395990
1,Jurassic World,7.1,361332
2,Avengers: Age of Ultron,7.6,377608
3,Inside Out,8.3,251290
4,Furious 7,7.3,250480
5,Minions,6.5,116337
6,The Hunger Games: Mockingjay - Part 2,7.0,86745
7,The Martian,8.1,294549
8,Cinderella,7.0,88845
9,Spectre,7.0,181410
10,Mission: Impossible - Rogue Nation,7.5,191881
11,Pitch Perfect 2,6.5,81521
12,Ant-Man,7.4,221860
13,Home,6.7,58760
14,Hotel Transylvania 2,6.8,33130
15,Fifty Shades of Grey,4.1,202245
16,The SpongeBob Movie: Sponge Out of Water,6.1,30865
17,Straight Outta Compton,8.0,72761
18,San Andreas,6.1,120170
19,Mad Max: Fury Road,8.2,430971
20,Insurgent,6.3,127423
21,Daddy's Home,6.5,10505
22,The Peanuts Movie,7.4,14224
23,The Good Dinosaur,7.0,23829
24,Spy,7.1,135014
25,Trainwreck,6.4,69697
26,Creed,8.0,60104
27,Tomorrowland,6.5,104683
28,Get Hard,6.1,69427
29,Terminator Genisys,6.6,160858
30,The Revenant,8.3,121289
31,Sisters,6.4,12943
32,Maze Runner: The Scorch Trials,6.4,100762
33,Ted 2,6.4,91125
34,Alvin and the Chipmunks: The Road Chip,4.0,3002
35,Goosebumps,6.5,22343
36,Pixels,5.7,69445
37,The Intern,7.2,66087
38,Paul Blart: Mall Cop 2,4.4,19905
39,Bridge of Spies,7.7,72891
40,War Room,6.2,6210
41,Magic Mike XXL,5.7,30684
42,The Visit,6.3,41234
43,The Wedding Ringer,6.7,46359
44,Black Mass,7.1,62648
45,Vacation,6.2,47885
46,The Perfect Guy,5.4,4204
47,Fantastic Four,4.3,87544
48,Focus,6.6,128801
49,Southpaw,7.5,117847
50,Insidious: Chapter 3,6.1,43395
51,Joy,6.7,29614
52,The Big Short,8.0,42766
53,The Hateful Eight,8.0,106221
54,Poltergeist,5.0,35304
55,Jupiter Ascending,5.4,125320
56,Sicario,7.8,119279
57,The Man from U.N.C.L.E.,7.4,128309
58,"McFarland, USA",7.4,19387
59,The Gift,7.1,56762
60,Prem Ratan Dhan Payo,5.0,8245
61,Everest,7.1,92303
62,The Night Before,7.2,9320
63,Max,6.8,14444
64,Krampus,6.8,11749
65,The Age of Adaline,7.2,75509
66,The Longest Ride,7.1,39718
67,The Boy Next Door,4.6,23377
68,Pan,5.9,25386
69,Hot Pursuit,5.1,28553
70,The DUFF,6.6,43392
71,Woman in Gold,7.3,27661
72,The Second Best Exotic Marigold Hotel,6.6,18178
73,Entourage,6.7,49296
74,Paper Towns,6.4,47864
75,Concussion,7.1,12185
76,Chappie,6.9,153450
77,Crimson Peak,6.7,51452
78,A Walk in the Woods,6.4,8113
79,Spotlight,8.3,29400
80,Sinister 2,5.3,16112
81,The Last Witch Hunter,6.0,22424
82,No Escape,6.8,34836
83,Ricki and the Flash,6.0,10147
84,Point Break,5.4,8642
85,Run All Night,6.6,65646
86,Love the Coopers,5.8,3315
87,The Lazarus Effect,5.2,24390
88,Ex Machina,7.7,223865
89,In the Heart of the Sea,7.0,28912
90,The Gallows,4.3,10624
91,Hitman: Agent 47,5.8,47652
92,Brooklyn,7.7,17070
93,Project Almanac,6.4,50294
94,Aloha,5.5,31901
95,Shaun the Sheep Movie,7.4,18584
96,Paranormal Activity: The Ghost Dimension,4.5,9912
97,Steve Jobs,7.5,31743
98,Mr. Holmes,7.0,30920
99,Dope,7.3,35808
