,Title,UserRating,UserRatingCount,CriticRating,CriticRatingCount
0,Star Wars: The Force Awakens,6.8,4553.0,81.0,52
1,Jurassic World,6.8,1573.0,59.0,49
2,Avengers: Age of Ultron,7.0,1602.0,66.0,49
3,Inside Out,8.8,1372.0,94.0,48
4,Furious 7,6.8,840.0,67.0,44
5,Minions,5.8,339.0,56.0,35
6,The Hunger Games: Mockingjay - Part 2,6.9,400.0,65.0,44
7,The Martian,8.0,1199.0,80.0,46
8,Cinderella,7.6,314.0,67.0,47
9,Spectre,6.7,776.0,60.0,48
10,Mission: Impossible - Rogue Nation,7.8,638.0,75.0,46
11,Pitch Perfect 2,5.8,237.0,63.0,39
12,Ant-Man,8.0,966.0,64.0,43
13,Home,7.1,55.0,42.0,30
14,Hotel Transylvania 2,7.3,117.0,44.0,24
15,Fifty Shades of Grey,3.0,888.0,46.0,46
16,The SpongeBob Movie: Sponge Out of Water,6.6,226.0,62.0,27
17,Straight Outta Compton,7.5,267.0,72.0,41
18,San Andreas,5.5,321.0,43.0,42
19,Mad Max: Fury Road,8.6,3021.0,89.0,47
20,Insurgent,5.4,257.0,42.0,40
21,Daddy's Home,7.1,55.0,42.0,30
22,The Peanuts Movie,8.4,114.0,67.0,31
23,The Good Dinosaur,7.3,159.0,66.0,37
24,Spy,5.5,527.0,75.0,40
25,Trainwreck,5.7,304.0,75.0,45
26,Creed,8.3,317.0,82.0,42
27,Tomorrowland,6.5,377.0,60.0,47
28,Get Hard,3.8,164.0,34.0,43
29,Terminator Genisys,6.2,1006.0,38.0,41
30,The Revenant,8.2,572.0,76.0,50
31,Sisters,6.5,72.0,58.0,36
32,Maze Runner: The Scorch Trials,6.3,233.0,43.0,29
33,Ted 2,6.4,258.0,48.0,38
34,Alvin and the Chipmunks: The Road Chip,2.6,49.0,33.0,19
35,Goosebumps,6.9,80.0,59.0,27
36,Pixels,5.2,400.0,27.0,37
37,The Intern,6.8,112.0,51.0,36
38,Paul Blart: Mall Cop 2,2.4,246.0,13.0,16
39,Bridge of Spies,7.8,274.0,81.0,48
40,War Room,5.4,53.0,26.0,11
41,Magic Mike XXL,5.5,79.0,60.0,41
42,The Visit,6.5,196.0,55.0,34
43,The Wedding Ringer,3.1,153.0,35.0,27
44,Black Mass,7.4,258.0,68.0,43
45,Vacation,6.4,154.0,34.0,33
46,The Perfect Guy,3.2,23.0,36.0,13
47,Fantastic Four,2.6,631.0,27.0,40
48,Focus,6.2,203.0,56.0,42
49,Southpaw,7.9,290.0,57.0,42
50,Insidious: Chapter 3,6.8,143.0,52.0,26
51,Joy,6.4,106.0,56.0,48
52,The Big Short,8.5,216.0,81.0,45
53,The Hateful Eight,7.2,633.0,69.0,48
54,Poltergeist,3.6,181.0,47.0,27
55,Jupiter Ascending,4.5,555.0,40.0,40
56,Sicario,8.3,533.0,81.0,41
57,The Man from U.N.C.L.E.,7.6,379.0,56.0,40
58,"McFarland, USA",7.3,66.0,60.0,32
59,The Gift,8.4,326.0,77.0,31
60,Prem Ratan Dhan Payo,,,,3
61,Everest,7.1,223.0,64.0,39
62,The Night Before,6.5,57.0,58.0,31
63,Max,8.6,3021.0,89.0,47
64,Krampus,7.6,107.0,49.0,21
65,The Age of Adaline,7.3,132.0,51.0,31
66,The Longest Ride,4.9,58.0,33.0,30
67,The Boy Next Door,5.5,79.0,30.0,33
68,Pan,4.8,122.0,36.0,35
69,Hot Pursuit,3.7,99.0,31.0,36
70,The DUFF,6.6,83.0,56.0,28
71,Woman in Gold,7.1,88.0,51.0,31
72,The Second Best Exotic Marigold Hotel,6.2,52.0,51.0,36
73,Entourage,5.2,135.0,38.0,40
74,Paper Towns,6.4,101.0,56.0,34
75,Concussion,6.3,60.0,56.0,37
76,Chappie,7.3,697.0,41.0,39
77,Crimson Peak,7.4,296.0,66.0,37
78,A Walk in the Woods,5.5,32.0,51.0,30
79,Spotlight,7.7,250.0,93.0,44
80,Sinister 2,5.6,99.0,32.0,17
81,The Last Witch Hunter,5.2,95.0,34.0,22
82,No Escape,6.5,101.0,38.0,33
83,Ricki and the Flash,6.8,64.0,54.0,36
84,Point Break,2.9,51.0,34.0,19
85,Run All Night,7.6,189.0,59.0,34
86,Love the Coopers,5.3,25.0,31.0,26
87,The Lazarus Effect,4.9,69.0,31.0,29
88,Ex Machina,7.9,861.0,78.0,42
89,In the Heart of the Sea,6.9,91.0,47.0,47
90,The Gallows,6.8,118.0,30.0,22
91,Hitman: Agent 47,4.0,202.0,28.0,27
92,Brooklyn,7.9,176.0,87.0,42
93,Project Almanac,5.5,114.0,47.0,25
94,Aloha,4.3,100.0,40.0,36
95,Shaun the Sheep Movie,8.8,149.0,81.0,30
96,Paranormal Activity: The Ghost Dimension,3.8,61.0,30.0,13
97,Steve Jobs,6.8,222.0,82.0,45
98,Mr. Holmes,7.8,92.0,67.0,35
99,Dope,7.6,98.0,72.0,37
